decimalLatitude,decimalLongitude,Year,August,July,June,May,April,March,SeptBefore,AugustBefore,JulyBefore,JuneBefore,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
51.7961,-0.6559,1901,MONTH_1901-08-16,MONTH_1901-07-16,MONTH_1901-06-16,MONTH_1901-05-16,MONTH_1901-04-16,MONTH_1901-03-16,MONTH_1900-09-16,MONTH_1900-08-16,MONTH_1900-07-16,MONTH_1900-06-16,15.920388380411483,17.486690943430105,13.878640008943206,10.84231459261606,8.190428638074106,3.5224372339638053,13.441076621779652,15.346818493779214,18.0663944802056,14.453242833923557
51.7961,-0.6559,1919,MONTH_1919-08-16,MONTH_1919-07-16,MONTH_1919-06-16,MONTH_1919-05-16,MONTH_1919-04-16,MONTH_1919-03-16,MONTH_1918-09-16,MONTH_1918-08-16,MONTH_1918-07-16,MONTH_1918-06-16,16.424023337921223,13.58605233412738,14.165406626575594,13.057731570960206,6.733369361785125,3.5678755829575133,12.35230238092808,16.115393093379545,15.551895286279342,12.909275510685834
50.8474,0.2188,1919,MONTH_1919-08-16,MONTH_1919-07-16,MONTH_1919-06-16,MONTH_1919-05-16,MONTH_1919-04-16,MONTH_1919-03-16,MONTH_1918-09-16,MONTH_1918-08-16,MONTH_1918-07-16,MONTH_1918-06-16,16.62311689697972,13.615815627396165,13.826368609646986,12.76452984710989,6.942641328766479,4.685229499820217,13.210560464016918,16.21285549936844,15.68305746901511,13.216052582478127
51.4399,0.1543,1912,MONTH_1912-08-16,MONTH_1912-07-16,MONTH_1912-06-16,MONTH_1912-05-16,MONTH_1912-04-16,MONTH_1912-03-16,MONTH_1911-09-16,MONTH_1911-08-16,MONTH_1911-07-16,MONTH_1911-06-16,13.574707334365156,16.963914396759158,14.292885583975176,12.864065700612015,8.989421691667268,7.558242096076265,15.266834512793338,19.39618041987188,19.130109488034826,15.032211927463738
51.0427,-0.8918,1920,MONTH_1920-08-16,MONTH_1920-07-16,MONTH_1920-06-16,MONTH_1920-05-16,MONTH_1920-04-16,MONTH_1920-03-16,MONTH_1919-09-16,MONTH_1919-08-16,MONTH_1919-07-16,MONTH_1919-06-16,13.518693843877514,14.260408802979672,14.59679301006964,12.160093934597835,8.56642327943582,7.308316043292722,13.33494901335086,16.67069643893713,13.926976365872461,14.082080452889718
51.7961,-0.6559,1917,MONTH_1917-08-16,MONTH_1917-07-16,MONTH_1917-06-16,MONTH_1917-05-16,MONTH_1917-04-16,MONTH_1917-03-16,MONTH_1916-09-16,MONTH_1916-08-16,MONTH_1916-07-16,MONTH_1916-06-16,15.362500563108231,15.814453217418771,15.650475240901663,13.24167008886038,4.924942719358582,2.5069985587655945,12.620652857839117,16.46727451941494,14.91739365797142,11.245790919953752
51.0389,-4.2381,1891,MONTH_1891-08-16,MONTH_1891-07-16,MONTH_1891-06-16,MONTH_1891-05-16,MONTH_1891-04-16,MONTH_1891-03-16,MONTH_1890-09-16,MONTH_1890-08-16,MONTH_1890-07-16,MONTH_1890-06-16,13.977603446235923,14.72642623720577,14.606133732672214,9.364528884732644,6.999034555792782,4.040815780665229,14.048095897123773,14.576769410001042,14.242222425832107,13.282833707777463
51.7845,-0.6767,1898,MONTH_1898-08-16,MONTH_1898-07-16,MONTH_1898-06-16,MONTH_1898-05-16,MONTH_1898-04-16,MONTH_1898-03-16,MONTH_1897-09-16,MONTH_1897-08-16,MONTH_1897-07-16,MONTH_1897-06-16,16.67468931041014,15.253552889019051,13.219836453573425,10.52009983443676,7.743995713050537,3.7133720133798094,11.863688779078599,15.972635438064778,16.383232289767918,15.009781563788748
51.6755,-0.6072,1909,MONTH_1909-08-16,MONTH_1909-07-16,MONTH_1909-06-16,MONTH_1909-05-16,MONTH_1909-04-16,MONTH_1909-03-16,MONTH_1908-09-16,MONTH_1908-08-16,MONTH_1908-07-16,MONTH_1908-06-16,16.06017248682953,15.14586243632254,12.019832754760744,10.798361479586235,8.821037033510196,3.4597252545995083,12.738818685528459,14.965817740475801,16.08355602063336,14.78153069848317
50.547,-3.4967,1891,MONTH_1891-08-16,MONTH_1891-07-16,MONTH_1891-06-16,MONTH_1891-05-16,MONTH_1891-04-16,MONTH_1891-03-16,MONTH_1890-09-16,MONTH_1890-08-16,MONTH_1890-07-16,MONTH_1890-06-16,14.530376482584277,15.103922808418035,14.521899224733199,9.943038554239177,7.127548352814451,4.473497877750974,14.622056050236912,15.017787323078222,14.650974050195966,13.653037975207646
