variable,mean,median,sd,mad,q5,q95,q16.7,q83.3,Sp
zgp_gpScale_LatScale_Long[52],0.2541061483993577,0.25976256130418834,0.9373220595514665,0.9318467277592041,-1.3144896043080132,1.7626644638673312,-0.6308131444943795,1.1751691843180916,Boloria euphrosyne
zgp_gpScale_LatScale_Long[53],0.3261578793581136,0.3239003910104233,0.8931896504617057,0.9247858339060955,-1.146477545148341,1.786022811729022,-0.5364100475261995,1.1857393757938577,Boloria euphrosyne
zgp_gpScale_LatScale_Long[54],-0.31507786052453857,-0.3177158847518855,0.8035123127362555,0.8062471438124499,-1.620180467147144,0.99452129131713,-1.069020644960844,0.45485776591646515,Boloria euphrosyne
zgp_gpScale_LatScale_Long[55],-0.21532586036977655,-0.22610592752094893,0.817166665361272,0.8008361527550223,-1.49248407455538,1.1733354322566716,-1.0118669249930399,0.5774405618207812,Boloria euphrosyne
zgp_gpScale_LatScale_Long[56],-0.009925827586352466,0.0030029180517607418,0.8692305396467418,0.8441361966249548,-1.4133461426608016,1.42650502652849,-0.8490623467607634,0.8201038479179268,Boloria euphrosyne
zgp_gpScale_LatScale_Long[57],-0.5503893385674388,-0.5630946539265276,0.8088158077470329,0.7911113112928642,-1.8880860911224335,0.7871603890726323,-1.320222235726329,0.22009574688711786,Boloria euphrosyne
zgp_gpScale_LatScale_Long[58],0.4245164290497045,0.4414355272721131,0.9049163667012349,0.9002138905578482,-1.0401478874217793,1.8998556071739794,-0.4534765893908169,1.2888386489746815,Boloria euphrosyne
zgp_gpScale_LatScale_Long[59],-0.1594664130523788,-0.17240942868740558,1.00888113310311,0.9979472037041178,-1.7929870076197556,1.4847152908569405,-1.144745290497273,0.8207037685250073,Boloria euphrosyne
zgp_gpScale_LatScale_Long[60],0.7318830743355501,0.7801485898784104,0.81061299851641,0.7842668117435854,-0.6917445921590673,1.9855228001292515,-0.01467802728871739,1.5026686780344818,Boloria euphrosyne
zgp_gpScale_LatScale_Long[61],-0.02489313129199759,-0.02988008244920555,0.9257169834310224,0.9051654118079794,-1.5532303199017337,1.5040402839825935,-0.903203076936328,0.8566707302730604,Boloria euphrosyne
zgp_gpScale_LatScale_Long[62],-0.24194386567673914,-0.25039999139009683,0.8880039853836135,0.8986991759417619,-1.6781442299436264,1.2012109743668553,-1.1160991842753925,0.6373228008946213,Boloria euphrosyne
zgp_gpScale_LatScale_Long[63],-0.4569549008774985,-0.45497253455033626,0.9135846829282005,0.8936444259001217,-1.9731903047671102,1.0723456312624031,-1.3251354485412472,0.41766637713770655,Boloria euphrosyne
zgp_gpScale_LatScale_Long[64],0.10290112526671356,0.10494933733087136,0.9364715753371329,0.9338681332824987,-1.4069672957804134,1.6622644757574618,-0.8104336986857051,0.9911147585642696,Boloria euphrosyne
zgp_gpScale_LatScale_Long[65],0.028432531458661172,0.02014344919726946,0.9363315034028693,0.9304768268888964,-1.5212634268748253,1.598720600821076,-0.8845246672294176,0.9392235867556814,Boloria euphrosyne
zgp_gpScale_LatScale_Long[66],0.03121557339753705,0.04382430644471086,0.9984111516266359,0.9866677669374271,-1.6216543027545387,1.666615429405699,-0.9474895926084215,0.9915904473774126,Boloria euphrosyne
zgp_gpScale_LatScale_Long[67],-1.174246923862896,-1.1769664648798175,0.585525662209352,0.5599487932385013,-2.1231552811561265,-0.22075341927162434,-1.7219653436763998,-0.6400596649924701,Boloria euphrosyne
zgp_gpScale_LatScale_Long[68],-0.4362923711004326,-0.4448337017308227,0.8015567966805778,0.7935698886806876,-1.733654142966849,0.9085555565069163,-1.2166282400756987,0.34441714173622706,Boloria euphrosyne
zgp_gpScale_LatScale_Long[69],-0.4621068036723712,-0.46776807423058786,0.9134667475636473,0.9060032805616384,-1.9739486371442052,1.0522423849873708,-1.3228682929931919,0.41828353838004456,Boloria euphrosyne
zgp_gpScale_LatScale_Long[70],0.22038283217853707,0.223262574248695,0.9293212632677575,0.9157369424283628,-1.304411061011963,1.7418971270695354,-0.6599565652802425,1.1105737871466321,Boloria euphrosyne
zgp_gpScale_LatScale_Long[71],-0.1600332439373637,-0.15663188806017259,0.9075966297882253,0.9108856303105795,-1.6536925779126301,1.306154901323267,-1.0324450359921875,0.717660433340955,Boloria euphrosyne
zgp_gpScale_LatScale_Long[72],-0.5457975065449661,-0.5166694967328984,0.7443663238034265,0.727322130890138,-1.7955765910542472,0.6556059833695701,-1.2587778622237717,0.15524744650560623,Boloria euphrosyne
zgp_gpScale_LatScale_Long[73],0.04564476328670861,0.03213951747009876,0.885609384545019,0.8944770738607436,-1.3785810229695803,1.5331237374599245,-0.8075787471733621,0.8895554670420979,Boloria euphrosyne
zgp_gpScale_LatScale_Long[74],0.5072545872088166,0.5165182095990395,0.7714407909393128,0.7622205540542347,-0.7542294613329574,1.7844408380359753,-0.22841630245705183,1.2590628341812495,Boloria euphrosyne
zgp_gpScale_LatScale_Long[75],0.06834774013853863,0.08517904404287803,0.8244516900476629,0.7775022931380414,-1.2906874731323532,1.4259571829162023,-0.7097063678777504,0.8381732448338819,Boloria euphrosyne
zgp_gpScale_LatScale_Long[76],0.7622397811293377,0.7670660178230962,0.591228846604206,0.5457239803582379,-0.2043626745014804,1.7074802978928416,0.2389628063357031,1.297037769510683,Boloria euphrosyne
zgp_gpScale_LatScale_Long[77],-0.58360563405823,-0.588752184254246,0.7858016148448174,0.778318419681469,-1.9075912577689258,0.6618230535861882,-1.3402281161947758,0.17460213578335415,Boloria euphrosyne
zgp_gpScale_LatScale_Long[78],-0.33201675111014883,-0.3436290795468835,0.9921159347548936,0.9773115753848771,-1.9432030278757841,1.3261288835518261,-1.285349540537934,0.608353987759098,Boloria euphrosyne
zgp_gpScale_LatScale_Long[79],-0.8248306908911263,-0.841142968176301,0.7689150160334166,0.727380385175273,-2.077608330464027,0.443739168664433,-1.5369425603098306,-0.11151843498570563,Boloria euphrosyne
zgp_gpScale_LatScale_Long[80],-0.06722910894690255,-0.058691948886155254,0.8916768810812794,0.9072173496663432,-1.550522785033704,1.3814909299971672,-0.921005235703836,0.7984472294826517,Boloria euphrosyne
zgp_gpScale_LatScale_Long[81],-0.6516719718859861,-0.6809033919891496,0.6872240395643643,0.6488312864910438,-1.7036782522918514,0.539756474075945,-1.3012835395198221,-0.03473706001562273,Boloria euphrosyne
zgp_gpScale_LatScale_Long[82],0.6032365064493757,0.6294699046717924,0.9031424198483174,0.8806039122837629,-0.9035479841938979,2.0495798886445074,-0.2454728807996245,1.4512870786065721,Boloria euphrosyne
zgp_gpScale_LatScale_Long[83],0.4927957562317084,0.5157000499645705,0.65529513274566,0.6398928306511509,-0.6078087906007316,1.5291482394173543,-0.11717554619348075,1.1272888268889005,Boloria euphrosyne
zgp_gpScale_LatScale_Long[84],-0.043129593097987286,-0.03606297860410096,0.9258422564648859,0.8977865253912393,-1.5475600836333012,1.4714000451508567,-0.927265644808398,0.8280132596998999,Boloria euphrosyne
