variable,mean,median,sd,mad,q5,q95,q2.5,q16.7,q83.3,q97.5,Sp,Sex
b_Latitude,-4.345554506765551e-4,-4.2156522929390574e-4,0.005734318797919939,0.005670397502749857,-0.009794305410920499,0.008993146538101992,-0.011623458840994763,-0.005872792703568904,0.005130324166941312,0.010800175483143793,Aricia agestis,female
sigma,0.07183256803780719,0.0718067673563921,0.0020731491759338853,0.001999385291527209,0.06853572081862626,0.07534121782006994,0.06784812412670367,0.069831481958288,0.07380452498818435,0.07611235020803142,Aricia agestis,female
Intercept,2.4928513683048172,2.492872896130905,0.002900202023982559,0.0027772058347765396,2.4880454045368063,2.497527829318164,2.486920614044458,2.4901289081557647,2.495632984498382,2.498676254310413,Aricia agestis,female
lprior,-3.210075682202951,-3.210072022164052,4.8368322979905657e-4,4.648835239167894e-4,-3.2108845099683943,-3.20929873023257,-3.211062134752778,-3.2105253124157374,-3.2096171742227773,-3.2091190296185963,Aricia agestis,female
lp__,763.2207697926003,763.5297154153006,1.6345526125292262,1.4752981329077428,760.0967850970579,765.1984735881716,759.135419533739,761.7949764835483,764.7391049718826,765.3741103530698,Aricia agestis,female
b_Intercept,0.989598999239564,0.9959677307865489,0.998261740248267,0.989471357121116,-0.6667327132161157,2.6134473118370245,-0.9933119382020825,0.01515450787668385,1.9594067458496114,2.914994265275586,Boloria selene,female
b_YearRescale,0.1388415182847312,0.1390681671619202,0.04887135500226103,0.04884855515792563,0.059252698283422,0.21834829374407164,0.042770933403254496,0.09121870886639397,0.18612339195924668,0.2347892763777897,Boloria selene,female
b_Temp,1.0046935880257992e-4,1.0316082663797122e-4,0.005846142184658108,0.005836470283741308,-0.009318371338893032,0.00956725942950098,-0.011165826566063764,-0.005627145495921687,0.005707909440503279,0.01131925528971108,Boloria selene,female
b_Latitude,0.03527011419699006,0.03507199071937299,0.019650383693530317,0.019481016777783577,0.0031326257919676295,0.0676353777947389,-0.002605347665406916,0.016389206798818435,0.054303594966081815,0.07477287983960397,Boloria selene,female
sigma,0.05951093767286949,0.0590441390931267,0.005213040707270932,0.005017132840580637,0.051732182067887336,0.06886892636264932,0.050707854073832714,0.05459036535276379,0.06442893018540319,0.07082438672221728,Boloria selene,female
Intercept,2.9843701917520793,2.9843126986240436,0.007020739882883153,0.006903162923731979,2.9730926189362137,2.996289998997301,2.9701952160674154,2.9776532641887514,2.9909768340650573,2.998328670421397,Boloria selene,female
lprior,-3.1521960171420105,-3.1521881348982834,4.737854281163418e-4,4.690762764861e-4,-3.152980072575468,-3.1514322211799635,-3.1531716855245864,-3.1526421436689716,-3.151751682016586,-3.1512799802968963,Boloria selene,female
lp__,101.55535291608048,101.96463596865993,1.7802284190726152,1.4922070127614175,98.16485343184112,103.63048887128994,97.0714623048462,100.03474966087663,103.11688391446489,103.78232718531878,Boloria selene,female
b_Intercept,2.9329439400204493,2.9233955105193306,0.4094101489264399,0.399591607065623,2.271423799044208,3.6155039584958515,2.130562416520159,2.5472497691515024,3.3265232299600704,3.755951443677985,Callophrys rubi,female
b_YearRescale,0.03183922588877201,0.03210585658572268,0.019824272133164147,0.019936460791766947,-6.970272815180736e-4,0.06448916681515873,-0.006618491169720159,0.012957218295955803,0.050998235665070446,0.07007264567467351,Callophrys rubi,female
b_Temp,-0.0027690094630471707,-0.0027358523952997304,0.004272527707639878,0.004342220588459136,-0.009838846367527892,0.004401480450140618,-0.01121525375556524,-0.006950395382644968,0.001360895129445108,0.005856380512851305,Callophrys rubi,female
b_Latitude,-0.006631015003534547,-0.0064210992217405265,0.00782738839788769,0.007621500545253838,-0.019692304051496256,0.006169542555782641,-0.022193523067334364,-0.014173653772212576,7.558960687774757e-4,0.008631327433487936,Callophrys rubi,female
sigma,0.06264867071051272,0.06255611807454849,0.002850428379508915,0.002822766361435134,0.058149639348098366,0.06757690431686579,0.05730236260120818,0.05990768038776767,0.06534210329580366,0.06858806767101566,Callophrys rubi,female
Intercept,2.593441684173435,2.593431730973241,0.004085655831092079,0.003953164663802925,2.5866561215675508,2.6002224205758826,2.5855001266792974,2.5895182107080545,2.597312121402793,2.6015643371992185,Callophrys rubi,female
lprior,-3.1941871593865026,-3.194184847099846,6.0164316993986e-4,5.817197106661074e-4,-3.195199240320562,-3.1931945202465806,-3.195378429359703,-3.1947633019064328,-3.193616218700679,-3.1930051146505765,Callophrys rubi,female
lp__,334.08753063872336,334.41790430397066,1.6259907118669865,1.4470026592436525,330.952734988057,336.07684693489927,329.92192793173683,332.6775463649844,335.5615233851688,336.23259048572953,Callophrys rubi,female
b_Intercept,2.681349329261571,2.672528918636388,0.5471993515192091,0.552523830927989,1.791618524985432,3.593733227185427,1.6006379386602114,2.155955118782091,3.217614659050844,3.743277157252718,Carterocephalus palaemon,female
b_YearRescale,0.011141704655747719,0.010909602884892485,0.014255939940803842,0.01429624218193159,-0.011961363822440679,0.03520684899483027,-0.01630317737582789,-0.0027450295815727114,0.024932039549908455,0.03908354114404845,Carterocephalus palaemon,female
b_Temp,6.011412818338331e-4,6.135078576182078e-4,0.0018756551046742987,0.0018914410758670466,-0.002514865882539396,0.003631640455079953,-0.0031011284825799316,-0.001202021653011575,0.0024247664453831965,0.004213486857574151,Carterocephalus palaemon,female
b_Latitude,-0.00313918292853254,-0.0031854228662035224,0.010308044305311978,0.010321531133792245,-0.02025362790195763,0.013521142479714783,-0.023192916257286002,-0.01311205431496331,0.006842847003995646,0.017152109025795156,Carterocephalus palaemon,female
sigma,0.05196700430487361,0.05189293045135811,0.0018002047470247668,0.001763654101155025,0.04907951552805703,0.05499660197639137,0.04859701221791707,0.05023877050124328,0.05369713481998219,0.0556686538743775,Carterocephalus palaemon,female
Intercept,2.5400988704756666,2.540085898865538,0.0024917133069519816,0.002420614159511823,2.5359100628431834,2.544326057270749,2.5350946347613816,2.5377266911411605,2.5425004007788496,2.544991464239024,Carterocephalus palaemon,female
lprior,-3.202166169133323,-3.2021670661224633,3.922073301851985e-4,3.826765358456427e-4,-3.202825544724905,-3.2015048201090246,-3.202963707435884,-3.2025362139886986,-3.2017932417072723,-3.2013999422832784,Carterocephalus palaemon,female
lp__,643.4149663618432,643.7510882391587,1.5862926718668826,1.3550339905684103,640.4210689470099,645.3299009671131,639.3707884225198,642.0279252975586,644.8431493721694,645.499084473834,Carterocephalus palaemon,female
b_Intercept,3.681897570156695,3.6812052184037585,0.5143264642553387,0.5260336200793884,2.845322787437334,4.553405499633539,2.6827195783804028,3.1874319006810032,4.177763584834137,4.7034780363865325,Celastrina argiolus,female
b_YearRescale,0.04709321565498241,0.04713596921443529,0.022158762622793777,0.021959517230671306,0.010964124266857646,0.08347676060573175,0.003935188657021907,0.02546425253812136,0.068581873672382,0.09052751614798363,Celastrina argiolus,female
b_Temp,-0.01815120656870133,-0.018170956740493044,0.006025584876283338,0.00591249270494762,-0.028001054478668273,-0.00805586004382632,-0.03001563389314715,-0.02397216844180799,-0.012350761266801628,-0.00608111999044965,Celastrina argiolus,female
b_Latitude,-0.015092568498298481,-0.015054766276412121,0.009740732714234047,0.009983290689100125,-0.03129190396647966,6.730677347366314e-4,-0.03468120614174729,-0.024623681215556453,-0.005799951577989447,0.004160970197303997,Celastrina argiolus,female
sigma,0.0659046413634498,0.06572052525334188,0.004041647313553024,0.0039812249596949375,0.059676873712553494,0.07290048712760724,0.05876363729417987,0.06194405384367649,0.0696611380771949,0.07437370003738633,Celastrina argiolus,female
Intercept,2.713885566229592,2.7138756838825966,0.005424567070156943,0.00530479901889148,2.7048407531533254,2.723076518691855,2.7031142360198883,2.7087465951723155,2.7190334668900435,2.724496532633214,Celastrina argiolus,female
lprior,-3.177991515621605,-3.177986129158401,6.681140642838111e-4,6.559979606618612e-4,-3.179130748256844,-3.1768876281973597,-3.179341037774316,-3.178627958421777,-3.177358694835061,-3.1766848017047358,Celastrina argiolus,female
lp__,182.17800299453748,182.4821092628395,1.6019823908824589,1.4262354758872142,179.17072094780474,184.15757597571283,178.14827640590426,180.76611771110987,183.65840222914673,184.2769113388334,Celastrina argiolus,female
b_Intercept,2.8140621847911493,2.8170260109561847,0.20586688073393636,0.20606349548406097,2.477002135943817,3.1500060021375575,2.4093504599471673,2.6154072971143476,3.0133186362584414,3.2147669641573997,Coenonympha pamphilus,female
b_YearRescale,0.0472680844226868,0.04730243241636614,0.01031603759416359,0.010399966941465666,0.030168630247237906,0.06428129232621481,0.02752050509385469,0.03704322817327117,0.05717367816176891,0.06771539196760992,Coenonympha pamphilus,female
b_Temp,0.0010419941170067527,0.0010241696933852493,0.0018334056746035438,0.0018484371123100966,-0.0019315333797611596,0.004054897039742286,-0.0025313946279523687,-7.551308322320399e-4,0.0027937013906183888,0.004579451895150718,Coenonympha pamphilus,female
b_Latitude,-0.003683955978612751,-0.003740726117633576,0.003906810477241836,0.00388914311224304,-0.010021608686889647,0.0028052633388747517,-0.011342371585964843,-0.007441294426333583,4.66759849999499e-5,0.004058952312616393,Coenonympha pamphilus,female
sigma,0.07177123579819068,0.07169168045517277,0.0015347226568891224,0.0015117140378490283,0.06935150978530731,0.07444878576213676,0.06892154537208772,0.0703316395357234,0.07324979218486861,0.07490193071543476,Coenonympha pamphilus,female
Intercept,2.695273352826497,2.6952702914168754,0.0021073391928259663,0.002081846701931108,2.6918044698634187,2.6987289801610834,2.691132106122872,2.6932668112802194,2.6972894885017946,2.6994160583900553,Coenonympha pamphilus,female
lprior,-3.180393930977189,-3.1803941266729367,2.6775892870865316e-4,2.633949491867979e-4,-3.1808335042550002,-3.179960472649423,-3.1809227050904174,-3.180649447509518,-3.1801332575660846,-3.1798629586718854,Coenonympha pamphilus,female
lp__,1389.016129166814,1389.334335918341,1.598007069086139,1.4376852956620623,1386.0207829365954,1390.918116943621,1385.045212918472,1387.5935455003832,1390.4916616020848,1391.0483804210057,Coenonympha pamphilus,female
b_Intercept,1.9329156973609012,1.938939852070651,0.37573195901384565,0.36729792986081533,1.3171596724292824,2.559323656146177,1.1961400220960514,1.5701568075582426,2.292545864391019,2.6830700753603676,Coenonympha tullia,female
b_YearRescale,0.03833344169402673,0.03839688632584341,0.013174282879676003,0.013489998021592257,0.01698059076174973,0.05988075435861965,0.012651615483311599,0.02560205637876851,0.05117665589320717,0.06448499297225725,Coenonympha tullia,female
b_Temp,-0.003798406496216239,-0.0038216294008933133,0.0018166735417800642,0.0018309531985737958,-0.006759980288468946,-7.800322994578368e-4,-0.0072903730474930106,-0.005542423169041815,-0.002046148566955688,-2.1797781155838804e-4,Coenonympha tullia,female
b_Latitude,0.017629399982175168,0.017477891341115943,0.007051740497848781,0.006897219346265044,0.0058372518762994765,0.02914415411779058,0.003639836236442742,0.010865259781476087,0.02441984714043857,0.031484429446327504,Coenonympha tullia,female
sigma,0.04342707392911589,0.04339835434944171,0.0017016130225756807,0.001725230525400714,0.04075091382477074,0.046274794736220454,0.04022216549780443,0.041774555786234464,0.0450405922158363,0.0468738951765822,Coenonympha tullia,female
Intercept,2.893006590135762,2.893046310390804,0.002371015975963384,0.0024362613860484427,2.8891243043996475,2.896832228186818,2.888415341579517,2.890693501847484,2.895261637428636,2.8976135322093284,Coenonympha tullia,female
lprior,-3.1590050944176107,-3.158999185750072,2.045353327231987e-4,2.0935730300433706e-4,-3.159345997263538,-3.1586754876072964,-3.159403773026096,-3.159204428972157,-3.1588112967430995,-3.1586102722678646,Coenonympha tullia,female
lp__,557.9596514789448,558.3005460658867,1.6118743723644777,1.4041945690115278,554.9383742472767,559.8877779419229,553.7550546992215,556.5709370050528,559.3993774995896,560.0460128151093,Coenonympha tullia,female
b_Intercept,2.283483137161689,2.2836648301543274,0.22963915193875878,0.22123746408366682,1.9022947977405136,2.670554698522816,1.8370553449828635,2.066283831988817,2.503497053147637,2.738188243856861,Cupido minimus,female
b_YearRescale,0.04958093387750531,0.04964585093872749,0.012368413763280104,0.01214478533735373,0.028921956485131357,0.06996050712301095,0.025144822750202547,0.03757776124724598,0.06131438490784308,0.07396295181676116,Cupido minimus,female
b_Temp,-0.004499394732294041,-0.0044856576680862075,0.001965549025946644,0.001992325032147642,-0.007778052491264889,-0.001290997784745436,-0.008382961267754842,-0.006365432154295083,-0.002592548316309752,-5.956818390689566e-4,Cupido minimus,female
b_Latitude,0.0021436807015883406,0.0021606564527993184,0.004435959371271806,0.004268263510311708,-0.005236023319428794,0.009500616970592705,-0.006613232112402226,-0.002086887653822623,0.006391050373303711,0.010927690442628975,Cupido minimus,female
sigma,0.07444412943710522,0.07441444483349641,0.0017085339355621626,0.0016983576875138052,0.07167807486663977,0.07725776801080933,0.07122244169956123,0.07279779155143147,0.07610469758793231,0.07790286860926657,Cupido minimus,female
