rowname,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,Sp
ORIG_MF,0,0,46.385589474560845,3.215496031910935,3.996598901131753,0.7536915486849611,-92.77117894912169,6.43099206382187,Polygonia c-album
SPATIAL_MF,-0.4313341842048164,1.1520900673348038,45.95425529035603,3.2269716272977425,7.240402554713187,1.2002886600584426,-91.90851058071206,6.453943254595485,Polygonia c-album
ORIG_MF,0,0,90.29953349816351,6.921412225269305,6.342990988083286,1.968396832463706,-180.59906699632702,13.84282445053861,Polyommatus bellargus
SPATIAL_MF,-0.6512805536186281,0.8277932848467116,89.64825294454485,6.6542629694101665,8.293537664656142,2.0971514534830287,-179.2965058890897,13.308525938820333,Polyommatus bellargus
ORIG_MF,0,0,81.98329869447501,10.974626869690901,8.261634079043306,4.170472867474332,-163.96659738895002,21.949253739381803,Polyommatus icarus
SPATIAL_MF,-0.8150929287629829,0.44578344704307,81.16820576571205,10.960265452269246,9.756493903666962,4.727892843167703,-162.3364115314241,21.92053090453849,Polyommatus icarus
ORIG_MF,0,0,176.08290962202162,6.220514200538432,5.031222722363262,0.7751880064683193,-352.16581924404323,12.441028401076863,Pyrgus malvae
SPATIAL_MF,-0.9398093798089251,0.27380191261068376,175.14310024221268,6.216889496372535,6.438915163244771,1.029592930092045,-350.28620048442536,12.43377899274507,Pyrgus malvae
SPATIAL_MF,0,0,75.60664190818436,57.3528269123758,61.01320531037136,39.31435286417251,-151.21328381636872,114.7056538247516,Pyronia tithonus
ORIG_MF,-5.467907257375114,36.00670375616223,70.13873465080923,69.88791209021596,32.642511006609965,31.310501395917075,-140.27746930161845,139.77582418043193,Pyronia tithonus
SPATIAL_MF,0,0,77.37117278938128,5.55249629421389,11.424960767103434,2.318537122244911,-154.74234557876255,11.10499258842778,Speyeria aglaja
ORIG_MF,-4.251724642811222,2.6585315659688584,73.11944814657001,6.046185887305084,5.346688562173979,1.45352263001927,-146.23889629314002,12.092371774610168,Speyeria aglaja
ORIG_MF,0,0,165.3171827048359,7.2697854035929845,5.791013785172509,1.0366990455326446,-330.6343654096718,14.539570807185969,Thymelicus sylvestris
SPATIAL_MF,-0.8023135494732614,0.5437387059160157,164.51486915536256,7.075785792399167,7.333005877658616,1.2764242999033566,-329.0297383107251,14.151571584798335,Thymelicus sylvestris
