variable,mean,median,sd,mad,q5,q95,q2.5,q16.7,q83.3,q97.5,Sp,Sex
sigma,0.062142097452501786,0.06213481616188617,0.0011444552903596915,0.001148153913175072,0.060296943296665115,0.06401842224691737,0.0599204800148438,0.06106526428033175,0.06325347795156447,0.06435980151502024,Boloria selene,male
Intercept,2.9436288460915656,2.943638931408172,0.0015719947884786298,0.0016081006552356204,2.9410293951841364,2.9462144058791524,2.940622033508436,2.942099914852869,2.9451204978894467,2.9467493573752406,Boloria selene,male
lprior,-3.1442307578927746,-3.14422965683001,5.411394167434195e-5,5.4789919531032e-5,-3.144320383276465,-3.1441439877733766,-3.1443353388185002,-3.144284178362985,-3.1441787563670953,-3.1441249581039066,Boloria selene,male
lp__,2091.695021869718,2092.0270302003864,1.6101323933632916,1.3885000006502786,2088.5985964599995,2093.619691701886,2087.441593164589,2090.3241721680565,2093.140749555347,2093.7900271837975,Boloria selene,male
b_Intercept,3.0441630831108113,3.0411007003959956,0.25057413900820025,0.25559160365593364,2.6431777669218293,3.4605723242171442,2.571759326721343,2.8000317898726093,3.2912666675644466,3.5470143732090014,Callophrys rubi,male
b_YearRescale,-0.013514890121031648,-0.013589078737219075,0.014319231284791746,0.014258567591811683,-0.03674063791245034,0.010092603184096027,-0.04161663529354536,-0.026982999377431205,2.403785874356015e-4,0.01523820676499693,Callophrys rubi,male
b_Temp,-0.0029215508076091655,-0.0028797334364899013,0.002504638094512202,0.0024857961048265495,-0.007153032619049157,0.001220040322312776,-0.007884100139437439,-0.005328958682933496,-5.157450568961195e-4,0.00198167802460914,Callophrys rubi,male
b_Latitude,-0.007898223007633782,-0.007781992540972834,0.004837056868207446,0.004874395657400666,-0.015999207979595295,-1.6582911299725585e-4,-0.017557841630959335,-0.012677929158045578,-0.003255588458320046,0.0013179291387246162,Callophrys rubi,male
sigma,0.054737624460445194,0.054688244460241675,0.0019406545985491935,0.0018617274513149534,0.051623682207573116,0.05799284657617018,0.051062237144625273,0.05291671682603298,0.05657745847172835,0.058692589087373626,Callophrys rubi,male
Intercept,2.5793378884608824,2.579350012794129,0.0026890745244321163,0.0027136004834988872,2.5748396859691214,2.5837618502601165,2.5740452971001506,2.5767476243141094,2.581970904551154,2.584576959501098,Callophrys rubi,male
lprior,-3.1702418130505876,-3.170239076887706,2.95507821528381e-4,2.954205226923419e-4,-3.1707371239038906,-3.1697588385582396,-3.1708248485531487,-3.1705234601230066,-3.1699542780952776,-3.1696696662216253,Callophrys rubi,male
lp__,607.3334446897303,607.7017719678928,1.6156278676776274,1.4469636407151083,604.21245394549,609.2434745948693,603.3981469275083,605.8640807102897,608.7944471735848,609.4104384490302,Callophrys rubi,male
b_Intercept,1.2545979914266572,1.24886593220968,1.071667875313469,1.057790065009209,-0.49600799954856023,2.98592243314583,-0.8892316054001214,0.24149869911851907,2.2857177165495024,3.310455258155528,Carterocephalus palaemon,male
b_YearRescale,-0.01450599584384174,-0.014985672550555678,0.030115088114317325,0.030027869176496275,-0.06382817740607043,0.03515425911857066,-0.07247334660472493,-0.04285581955181103,0.01442454775322843,0.04452433139030453,Carterocephalus palaemon,male
b_Temp,-0.0012819558882716919,-0.0013345218088136688,0.004072384328756786,0.003966449298022887,-0.007868976453293788,0.005433192783997391,-0.00923000384167584,-0.005156626349946004,0.002529337257190372,0.006793873094575148,Carterocephalus palaemon,male
b_Latitude,0.024430207513299166,0.024536660043011645,0.020333070950229508,0.019810669432009164,-0.008593395554441139,0.057627061741103464,-0.014863534202955643,0.005056202847394048,0.043738572279942226,0.0650681240475472,Carterocephalus palaemon,male
sigma,0.05117042644612381,0.050988290280416564,0.0037854578964455665,0.003774541959001724,0.04528958829230054,0.057875879481645305,0.04438359555007828,0.04746023596207077,0.05482808787700695,0.05902933162302233,Carterocephalus palaemon,male
Intercept,2.5000949409734283,2.5001403979405685,0.005357100701932998,0.005252654328924169,2.4911389793764007,2.5089509553711946,2.4895650943703025,2.4948832918417416,2.505123619258521,2.510895974363083,Carterocephalus palaemon,male
lprior,-3.1795197664963553,-3.179504259468027,6.746223387903156e-4,6.598172172564699e-4,-3.1806601521488815,-3.178407566346762,-3.180869540421121,-3.1801787000328186,-3.1788893529771145,-3.1781748148103257,Carterocephalus palaemon,male
lp__,142.13539674574642,142.4393918853978,1.5928328641334468,1.4346265783651744,139.2289388818845,144.07974478195268,138.29030570124272,140.6925578890253,143.6123042868983,144.25585431468858,Carterocephalus palaemon,male
b_Intercept,3.1149481284642313,3.1151793929802647,0.4690303506724902,0.4625432043023124,2.3501538923456238,3.876736316806899,2.215155318717511,2.650454533145345,3.578840315682266,4.042440335323285,Celastrina argiolus,male
b_YearRescale,0.05554158023407372,0.05528491473310089,0.02845386325945621,0.02813037109198232,0.008236913371550615,0.10329873195652538,-0.0012173205794786474,0.028301027940135243,0.08242552795163276,0.11137672161360897,Celastrina argiolus,male
b_Temp,-0.006126618804080148,-0.006051473642289409,0.006461989000413671,0.006433968272588743,-0.01660591078208763,0.004584287230126011,-0.018335452360178615,-0.012357497845482183,2.4430285480155677e-5,0.006498166921260734,Celastrina argiolus,male
b_Latitude,-0.007754198532588894,-0.0077174713753193,0.00854619274030804,0.008632393393682927,-0.02142927671847157,0.006466858226371706,-0.024651021966662048,-0.016152602288461618,3.973103558553955e-4,0.008943219691011974,Celastrina argiolus,male
sigma,0.06456580815708365,0.06436346614331481,0.004371014895484682,0.004311819804490546,0.05787334871139241,0.07204340292222293,0.05661490414318604,0.060395532487162444,0.06864567111626572,0.07406299213486907,Celastrina argiolus,male
Intercept,2.7016671830637145,2.701633040074024,0.005912833055419767,0.005703094820778908,2.6919155670361588,2.7116893528348385,2.690194825180317,2.695887216906643,2.707349148838229,2.713222877804866,Celastrina argiolus,male
lprior,-3.1585157570219553,-3.1585095435054455,5.020046558774957e-4,4.8535952069869465e-4,-3.1593631242762608,-3.1576865998575134,-3.159516861403452,-3.1590006574277085,-3.158038295310323,-3.157553687902378,Celastrina argiolus,male
lp__,152.053968250167,152.372704837313,1.6168244967293985,1.478147939595041,148.86924298698978,154.01010714754239,148.0949215256184,150.61709334145087,153.5623358061393,154.1691559396151,Celastrina argiolus,male
b_Intercept,2.710852291059014,2.7112516107426723,0.1972158471241247,0.19425053960214517,2.384966356048687,3.035292477575392,2.323423503313878,2.5217196157988555,2.9029657888112057,3.096649256484596,Coenonympha pamphilus,male
b_YearRescale,0.01600326119197565,0.015782239246563363,0.00954080497051717,0.009576894533452554,7.569393312033402e-4,0.03162684367163017,-0.0024136722704790566,0.006955316812211253,0.025241186260533906,0.034747440039309546,Coenonympha pamphilus,male
b_Temp,0.0017803290912367527,0.001804150517716408,0.0017480850887786374,0.0017453851495203153,-0.0011409774380215895,0.00457314511296663,-0.0017042122088005561,1.1680344624856939e-4,0.0034154887870292577,0.005197398149446046,Coenonympha pamphilus,male
b_Latitude,-0.0016356895690321448,-0.0016089048823837869,0.0037531897143382484,0.0037189548585085433,-0.007763740639416433,0.004526654910997498,-0.008964598184483964,-0.005283415508561077,0.0019491473301611927,0.005820608898961166,Coenonympha pamphilus,male
sigma,0.05834409859802358,0.058323927568670754,0.0015231220419526907,0.001508438655210086,0.05595053149940817,0.06091489587478791,0.05550143249714421,0.05684266309977426,0.059818952591749325,0.06145932210977536,Coenonympha pamphilus,male
Intercept,2.663140721695019,2.6631580178041414,0.002049049037618293,0.002048540282235493,2.659783951614519,2.666527867406348,2.6591128109315223,2.6611338446453545,2.6651223268865016,2.66719282041216,Coenonympha pamphilus,male
lprior,-3.161829734473655,-3.1618271314852757,1.9034011753399203e-4,1.889781807155365e-4,-3.1621444244270815,-3.161516196216782,-3.1622055598759897,-3.1620157879984867,-3.1616457152317,-3.161459665602261,Coenonympha pamphilus,male
lp__,1121.3834238223353,1121.7172281802195,1.6087864463111103,1.4222329906816749,1118.2769286373011,1123.3264705058166,1117.2702168256656,1119.9859378816882,1122.8404031686755,1123.4938911205334,Coenonympha pamphilus,male
b_Intercept,2.3782336172218286,2.3785789869835163,0.3573102142708709,0.3473305152684844,1.788288168013416,2.9642568552853503,1.6689053241495,2.0387314177931217,2.720595285641612,3.0704169344654484,Coenonympha tullia,male
b_YearRescale,0.04668289349164871,0.04653330579130321,0.011877836510884997,0.011641944096058838,0.02699462078493555,0.06630903445577732,0.02303469867269266,0.03502288276979909,0.058107385599016195,0.0693700856191725,Coenonympha tullia,male
b_Temp,-0.001408184782661181,-0.0014403119053120234,0.001614109981017646,0.0016283777296326309,-0.004069065602454745,0.001223907297958727,-0.0046031731313633814,-0.0029677993412727073,1.4775128705661128e-4,0.0017121467833932699,Coenonympha tullia,male
b_Latitude,0.008564059560322402,0.008569613584819773,0.006733469295531174,0.006546269877041679,-0.0024963888578606714,0.01969533438572721,-0.004514366002119613,0.0020704633367550126,0.014946662403083838,0.02209898827322216,Coenonympha tullia,male
sigma,0.039759836086525786,0.039689910266780475,0.001461257460936681,0.0014366752379976467,0.03739490955055222,0.04223890509748393,0.037053075805584305,0.038372368804259684,0.0412254848999614,0.04274190817681986,Coenonympha tullia,male
Intercept,2.886711346006184,2.8867454430974364,0.002124499037464339,0.0021630931009214423,2.8831760583107338,2.8901133794339007,2.882601601102236,2.884626739489681,2.8887618683404295,2.890841534252038,Coenonympha tullia,male
lprior,-3.146227912400542,-3.146225121296009,9.7489710908037e-5,9.76668153665181e-5,-3.1463914642657445,-3.1460713892408303,-3.146419714538782,-3.1463228919261432,-3.1461320687992815,-3.146041596041614,Coenonympha tullia,male
lp__,653.8659509248763,654.1545200175525,1.5573665110516777,1.4113741525451196,650.8044313844737,655.7824891947213,650.1014053446837,652.4969663885386,655.3019942738915,655.9176214906759,Coenonympha tullia,male
b_Intercept,2.031005298463761,2.024179854509994,0.8965756618620628,0.8799912242078675,0.574926774119588,3.512697227669938,0.2958578424131308,1.1671151027771627,2.8829408318721135,3.861360831045978,Cupido minimus,male
b_YearRescale,0.04542413775697417,0.04578519684114267,0.03293039866457781,0.032406657283652184,-0.00846416007933102,0.0996848857319317,-0.019066705837215606,0.014042001613069163,0.0768381204429851,0.11044971582060065,Cupido minimus,male
b_Temp,0.011407280700875473,0.011343534217699944,0.006559368413075028,0.00651598143958613,4.7288630371912174e-4,0.022331704731751254,-0.0013320241854425422,0.005044763970412386,0.01764235817023006,0.024793060146176757,Cupido minimus,male
b_Latitude,0.002332468839154996,0.0024473225487666385,0.017574920083042605,0.017376256501971776,-0.026765153528442564,0.03081785493150082,-0.03355436704411973,-0.01438629647132928,0.019166849524672534,0.03659174621266819,Cupido minimus,male
sigma,0.0646404287728604,0.06426050609786751,0.005722091176169696,0.005806360932235431,0.055992691959846484,0.0744431466431096,0.05471488698612318,0.05915581776646815,0.07006919805134065,0.07685905838704153,Cupido minimus,male
Intercept,2.3946047881652075,2.3945910571006435,0.007722429137851894,0.0074676269913447,2.381553990011334,2.407571435813164,2.3791971952253146,2.387271274477764,2.401728635348751,2.4098445120059875,Cupido minimus,male
lprior,-3.194050413345449,-3.194028901296023,0.0011349260136282503,0.0010929480420345324,-3.1959607699578436,-3.1921764124163245,-3.196346685731445,-3.195134400909548,-3.1929944039377434,-3.191825654373619,Cupido minimus,male
lp__,91.25028533796237,91.59231411194179,1.6569856225251804,1.5039024390943636,88.08953475994778,93.27140380038003,87.28337879928826,89.73973639347446,92.78672021599077,93.45118952917065,Cupido minimus,male
b_Intercept,2.019667746229506,2.0151191456217585,0.4850244843425682,0.4752691518097781,1.2304378267238885,2.8341396921062327,1.056900856672385,1.563970627879439,2.492563871939641,2.977081220586439,Erynnis tages,male
